EPOCH,TRAIN_LOSS,TEST_LOSS
0,0.09125292301177979,0.020008167251944542
1,0.014869666658341885,0.01006618607789278
2,0.008502689190208912,0.006126582156866789
3,0.005849439185112715,0.005063595715910196
4,0.005039415787905455,0.0044583785347640514
5,0.004675312899053097,0.004277204163372517
6,0.00456211669370532,0.004198657348752022
7,0.004428307060152292,0.004126111511141062
8,0.004335022997111082,0.00407610647380352
9,0.004292325582355261,0.003980731125921011
10,0.0041304780170321465,0.0039005775470286608
11,0.00407606502994895,0.0038233438972383738
12,0.003962744493037462,0.0037253431510180235
13,0.0038442525546997786,0.003619797993451357
14,0.0037411064840853214,0.0035162847489118576
15,0.0035483778920024633,0.0033810839522629976
16,0.003411371260881424,0.0032636693213135004
17,0.0032941524405032396,0.003168633207678795
18,0.003164827823638916,0.003025095211341977
19,0.0029706002678722143,0.0028424346819519997
20,0.0028823327738791704,0.002695221221074462
21,0.0026816476602107286,0.0026189815253019333
22,0.0025458887685090303,0.0024423685390502214
23,0.0023824458476155996,0.0023353993892669678
24,0.002246917923912406,0.002263857051730156
25,0.0021634013392031193,0.002216808032244444
26,0.0020925269927829504,0.0021316001657396555
27,0.002028955612331629,0.002027926966547966
28,0.001901346375234425,0.0019528603879734874
29,0.0018395950319245458,0.0019127201521769166
30,0.0017959519755095243,0.0019086443353444338
31,0.0017313495045527816,0.0018460925202816725
32,0.0016743980813771486,0.0018065021140500903
33,0.0016698032850399613,0.0017882215324789286
34,0.0016106205293908715,0.0017281149048358202
35,0.001581507152877748,0.0017053744522854686
36,0.0015641412464901805,0.0017067547887563705
37,0.001509837806224823,0.001651509664952755
38,0.0014937196392565966,0.001729785231873393
39,0.0015008720802143216,0.001641901326365769
40,0.001424255664460361,0.0015966988867148757
41,0.0013998557114973664,0.0015520898159593344
42,0.001373743754811585,0.001651288941502571
43,0.001353178988210857,0.0015724186087027192
44,0.0013567579444497824,0.0015346332220360637
45,0.0013061220524832606,0.0015512441750615835
46,0.0012884378666058183,0.001487090135924518
47,0.0012616306776180863,0.0014682835899293423
48,0.0012406558962538838,0.0015152745181694627
49,0.001241683610714972,0.0014511566841974854
50,0.0012078220024704933,0.0014368759002536535
51,0.0011806364636868238,0.0014625400071963668
52,0.0011678595328703523,0.0014420927036553621
53,0.001170009491033852,0.001435173791833222
54,0.0011302783386781812,0.0013892748393118382
55,0.0011297079036012292,0.0014086717274039984
56,0.0011186652118340135,0.0014720357721671462
57,0.0011073696659877896,0.0014261739561334252
58,0.001090798992663622,0.0013767302734777331
59,0.0010537875350564718,0.001367290853522718
60,0.0010265768505632877,0.0013461756752803922
61,0.0010235122172161937,0.0013449639081954956
62,0.0010246788151562214,0.0013063255464658141
63,0.0010081921936944127,0.001328929211013019
64,0.0009951504180207849,0.001307872706092894
65,0.0009446339681744576,0.0013025249354541302
66,0.0009284932748414576,0.0013023067731410265
67,0.0009153859573416412,0.0012888521887362003
68,0.0009278331999666989,0.001266511739231646
69,0.0009179095504805446,0.0012996515724807978
70,0.000907593930605799,0.0012515723938122392
71,0.0008748797699809074,0.0012656201142817736
72,0.0008479919633828104,0.0012479324359446764
73,0.0008425118285231292,0.001262716599740088
74,0.0008302581845782697,0.001246339175850153
75,0.000817649532109499,0.0012457917910069227
76,0.0008125597378239036,0.0012181377969682217
77,0.0007813949487172067,0.0012181493220850825
78,0.000782545655965805,0.001226224354468286
79,0.0007660670089535415,0.0012088402872905135
80,0.0007420925539918244,0.0012121201725676656
81,0.0007321277516894042,0.0012117726728320122
82,0.0007431932608596981,0.00120775296818465
83,0.0007262981380335987,0.001231333240866661
84,0.0007152295438572764,0.001285747392103076
85,0.0007190871983766556,0.001185270375572145
86,0.0006846602773293853,0.0012093492550775409
87,0.000665728934109211,0.0011936298105865717
88,0.0006610335549339652,0.0011735999723896384
89,0.000647142413072288,0.0011833495227620006
